([147, 123], 4, {'feature': 123, 0: {'feature': 147, 0: -1, 1: -1}, 1: {'feature': 147, 0: -1, 1: -1}}, 0.8565217391304348)
([133, 92], 0, {'feature': 133, 0: {'feature': 92, 0: -1, 1: -1}, 1: {'feature': 92, 0: -1, 1: -1}}, 0.86)
([133, 92], 1, {'feature': 133, 0: {'feature': 92, 0: -1, 1: -1}, 1: {'feature': 92, 0: -1, 1: -1}}, 0.9013043478260869)
([133, 92], 2, {'feature': 92, 0: {'feature': 133, 0: -1, 1: 2}, 1: {'feature': 133, 0: -1, 1: -1}}, 0.518695652173913)
([133, 92], 3, {'feature': 133, 0: {'feature': 92, 0: -1, 1: -1}, 1: {'feature': 92, 0: -1, 1: 3}}, 0.8813043478260869)
([133, 92], 4, {'feature': 92, 0: {'feature': 133, 0: -1, 1: -1}, 1: {'feature': 133, 0: -1, 1: -1}}, 0.8565217391304348)
([121, 176], 0, {'feature': 176, 0: {'feature': 121, 0: -1, 1: -1}, 1: {'feature': 121, 0: -1, 1: -1}}, 0.86)
([121, 176], 1, {'feature': 121, 0: {'feature': 176, 0: -1, 1: -1}, 1: {'feature': 176, 0: -1, 1: -1}}, 0.9013043478260869)
([121, 176], 2, {'feature': 121, 0: {'feature': 176, 0: 2, 1: -1}, 1: {'feature': 176, 0: -1, 1: -1}}, 0.5156521739130435)
([121, 176], 3, {'feature': 176, 0: {'feature': 121, 0: -1, 1: -1}, 1: {'feature': 121, 0: -1, 1: -1}}, 0.88)
([121, 176], 4, {'feature': 121, 0: {'feature': 176, 0: -1, 1: -1}, 1: {'feature': 176, 0: -1, 1: -1}}, 0.8565217391304348)
([128, 115], 0, {'feature': 115, 0: {'feature': 128, 0: -1, 1: -1}, 1: {'feature': 128, 0: -1, 1: -1}}, 0.86)
([128, 115], 1, {'feature': 115, 0: {'feature': 128, 0: -1, 1: -1}, 1: {'feature': 128, 0: -1, 1: -1}}, 0.9013043478260869)
([128, 115], 2, {'feature': 115, 0: {'feature': 128, 0: 2, 1: -1}, 1: {'feature': 128, 0: -1, 1: -1}}, 0.5069565217391304)
([128, 115], 3, {'feature': 115, 0: {'feature': 128, 0: -1, 1: -1}, 1: {'feature': 128, 0: -1, 1: -1}}, 0.88)
([128, 115], 4, {'feature': 128, 0: {'feature': 115, 0: -1, 1: -1}, 1: {'feature': 115, 0: -1, 1: -1}}, 0.8565217391304348)
([195, 181], 0, {'feature': 181, 0: {'feature': 195, 0: -1, 1: -1}, 1: {'feature': 195, 0: -1, 1: -1}}, 0.86)
([195, 181], 1, {'feature': 181, 0: {'feature': 195, 0: -1, 1: -1}, 1: {'feature': 195, 0: -1, 1: -1}}, 0.9013043478260869)
([195, 181], 2, {'feature': 181, 0: {'feature': 195, 0: -1, 1: -1}, 1: {'feature': 195, 0: 2, 1: 2}}, 0.5095652173913043)
([195, 181], 3, {'feature': 181, 0: {'feature': 195, 0: -1, 1: -1}, 1: {'feature': 195, 0: -1, 1: -1}}, 0.88)
([195, 181], 4, {'feature': 195, 0: {'feature': 181, 0: -1, 1: -1}, 1: {'feature': 181, 0: -1, 1: -1}}, 0.8565217391304348)
([193, 33], 0, {'feature': 33, 0: {'feature': 193, 0: -1, 1: -1}, 1: {'feature': 193, 0: -1, 1: -1}}, 0.86)
([193, 33], 1, {'feature': 193, 0: {'feature': 33, 0: -1, 1: -1}, 1: {'feature': 33, 0: -1, 1: -1}}, 0.9013043478260869)
([193, 33], 2, {'feature': 193, 0: {'feature': 33, 0: -1, 1: -1}, 1: {'feature': 33, 0: 2, 1: 2}}, 0.5165217391304348)
([193, 33], 3, {'feature': 193, 0: {'feature': 33, 0: -1, 1: -1}, 1: {'feature': 33, 0: -1, 1: -1}}, 0.88)
([193, 33], 4, {'feature': 193, 0: {'feature': 33, 0: -1, 1: -1}, 1: {'feature': 33, 0: -1, 1: -1}}, 0.8565217391304348)
([101, 100], 0, {'feature': 101, 0: {'feature': 100, 0: -1, 1: -1}, 1: {'feature': 100, 0: -1, 1: -1}}, 0.86)
([101, 100], 1, {'feature': 100, 0: {'feature': 101, 0: -1, 1: -1}, 1: {'feature': 101, 0: -1, 1: -1}}, 0.9013043478260869)
([101, 100], 2, {'feature': 101, 0: {'feature': 100, 0: 2, 1: -1}, 1: {'feature': 100, 0: -1, 1: -1}}, 0.5073913043478261)
([101, 100], 3, {'feature': 100, 0: {'feature': 101, 0: -1, 1: -1}, 1: {'feature': 101, 0: -1, 1: -1}}, 0.88)
([101, 100], 4, {'feature': 100, 0: {'feature': 101, 0: -1, 1: -1}, 1: {'feature': 101, 0: -1, 1: -1}}, 0.8565217391304348)
([199, 125], 0, {'feature': 199, 0: {'feature': 125, 0: -1, 1: -1}, 1: {'feature': 125, 0: -1, 1: -1}}, 0.86)
([199, 125], 1, {'feature': 125, 0: {'feature': 199, 0: -1, 1: -1}, 1: {'feature': 199, 0: -1, 1: -1}}, 0.9013043478260869)
([199, 125], 2, {'feature': 125, 0: {'feature': 199, 0: 2, 1: -1}, 1: {'feature': 199, 0: -1, 1: 2}}, 0.5321739130434783)
([199, 125], 3, {'feature': 125, 0: {'feature': 199, 0: -1, 1: -1}, 1: {'feature': 199, 0: -1, 1: -1}}, 0.88)
([199, 125], 4, {'feature': 125, 0: {'feature': 199, 0: -1, 1: -1}, 1: {'feature': 199, 0: -1, 1: -1}}, 0.8565217391304348)
